rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,91.33,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,11,9,2,78.23,83.86,5536,聖暉*,TPEX,櫃其他電子,1305.0,AI,待確認,一般觀察,回踩承接,業績成長,27.8,34.36,3,18.3,4.95,31.42,89.68,1.13,-6.12,10.0,16.14,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 20日報酬為正 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 11/11，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
2,A,Y,88.91,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,11,9,2,71.36,80.35,3374,精材,TPEX,櫃半導體,279.5,一般,3-5日延續,催化觀察,整理待確認,業績成長,43.32,27.74,3,24.42,-5.33,7.92,82.08,1.29,-11.97,13.0,13.09,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 20日報酬為正 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 11/11，加分 2/2；型態 早期起漲；結構 整理待確認；題材 一般；訊號 3-5日延續
3,A,Y,87.74,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,11,9,2,65.13,82.28,5347,世界,TPEX,櫃半導體,202.0,AI,3-5日延續,催化觀察,回踩承接,尚未明確,19.48,12.12,3,8.73,-11.45,20.24,74.14,1.65,-8.18,15.0,11.57,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 20日報酬為正 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 11/11，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
4,B,Y,84.7,early,早期起漲,N,N,,,Y,Y,early,早期起漲,10,9,2,69.89,81.23,6291,沛亨,TPEX,櫃半導體,653.0,CoWoS,待確認,一般觀察,回踩承接,業績成長,16.11,33.89,3,-0.68,43.92,-3.83,89.83,2.13,-9.05,6.0,16.14,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,20日報酬為正,核心 10/11，加分 2/2；型態 早期起漲；結構 回踩承接；題材 CoWoS；訊號 待確認
5,B,Y,80.2,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,9,1,62.78,83.08,7777,能率亞洲,TPEX,櫃其他,42.0,機器人,3-5日延續,催化觀察,整理待確認,業績成長,701.38,304.91,2,0.02,-16.02,3.11,76.37,2.45,-13.4,5.0,9.01,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 20日報酬為正 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2,距 60 日高點回檔介於 -12% 到 +1%,核心 10/11，加分 1/2；型態 早期起漲；結構 整理待確認；題材 機器人；訊號 3-5日延續
6,C,N,76.52,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,9,9,2,69.65,63.8,6548,長科*,TPEX,櫃半導體,85.1,一般,3-5日延續,催化觀察,結構未完成,業績成長,36.65,27.09,3,-5.79,2.44,24.78,82.23,1.14,-18.17,11.0,12.33,MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 20日報酬為正 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1%,核心 9/11，加分 2/2；型態 早期起漲；結構 結構未完成；題材 一般；訊號 3-5日延續
