rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.15,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,82.12,93.08,3088,艾訊,TPEX,櫃電腦週邊,139.5,機器人,3-5日延續,高勝率候選,回踩承接,業績成長,49.04,48.48,3,10.41,13.73,8.14,66.27,1.59,-8.22,4.0,16.09,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,,核心 8/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 機器人；訊號 3-5日延續
2,A,Y,91.02,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,76.65,84.28,6907,雅特力-KY,TPEX,櫃半導體,132.0,機器人,3-5日延續,催化觀察,結構未完成,轉虧為盈,76.42,87.43,3,2.11,1.67,8.2,9.09,0.94,-25.0,5.0,13.27,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,,核心 8/8，加分 3/3；型態 早期起漲；結構 結構未完成；題材 機器人；訊號 3-5日延續
3,A,Y,88.54,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,69.65,80.62,5536,聖暉*,TPEX,櫃其他電子,1090.0,AI,待確認,暫不出手,回踩承接,業績成長,27.8,34.36,3,20.55,7.59,7.92,58.89,0.61,-9.54,12.0,16.14,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,,核心 8/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
4,A,Y,87.54,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,62.23,84.92,6613,朋億*,TPEX,櫃其他電子,260.5,AI,待確認,暫不出手,回踩承接,業績成長,81.72,59.23,3,6.22,-0.52,3.37,34.28,1.07,-8.6,1.0,14.1,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,,核心 8/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
5,A,Y,83.88,early,早期起漲,Y,Y,early,早期起漲,N,N,,,8,6,2,68.68,76.54,8091,翔名,TPEX,櫃半導體,235.0,一般,待確認,一般觀察,結構未完成,業績成長,82.23,59.77,3,4.72,-10.77,9.05,76.03,1.0,-16.07,6.0,15.0,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上,,核心 8/8，加分 2/3；型態 早期起漲；結構 結構未完成；題材 一般；訊號 待確認
6,B,Y,85.6,early,早期起漲,N,N,,,Y,Y,early,早期起漲,7,6,3,75.49,86.47,5351,鈺創,TPEX,櫃半導體,85.5,存儲記憶體,5-10日波段,波段布局,整理待確認,業績成長,605.48,474.05,3,1.46,1.41,-6.56,21.97,1.19,-10.94,13.0,15.35,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,20日報酬為正,核心 7/8，加分 3/3；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；訊號 5-10日波段
7,B,Y,83.4,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,66.02,88.92,2412,中華電,TWSE,通訊網路,144.0,AI,3-5日延續,催化觀察,平台突破,尚未明確,5.39,6.85,3,-1.78,18.93,4.73,5.49,0.82,0.0,14.0,11.85,新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,EPS/獲利有支撐,核心 7/8，加分 3/3；型態 早期起漲；結構 平台突破；題材 AI；訊號 3-5日延續
8,B,Y,83.33,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,67.28,83.75,3546,宇峻,TPEX,櫃文化創意,82.7,AI,待確認,暫不出手,平台突破,業績成長,61.34,47.14,3,5.82,-8.33,15.5,14.7,1.49,-2.59,0.0,17.35,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,MA60 在 MA120 之上,核心 7/8，加分 3/3；型態 早期起漲；結構 平台突破；題材 AI；訊號 待確認
9,B,Y,81.93,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,3,67.06,80.27,4904,遠傳,TWSE,通訊網路,106.5,AI,3-5日延續,催化觀察,平台突破,尚未明確,13.73,9.57,3,2.19,11.75,8.56,13.9,1.06,-0.93,10.0,11.94,新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,EPS/獲利有支撐,核心 7/8，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
10,B,Y,81.52,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,63.21,79.78,4953,緯軟,TPEX,櫃資訊服務,137.5,AI,待確認,暫不出手,回踩承接,業績成長,29.21,31.09,3,13.2,15.68,17.02,18.03,1.1,-5.5,3.0,11.49,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,MA60 在 MA120 之上,核心 7/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
11,B,Y,81.28,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,67.27,76.78,3008,大立光,TWSE,光電,4130.0,光學,5-10日波段,波段布局,回踩承接,業績成長,42.67,25.97,3,6.36,22.85,31.74,79.18,2.6,-3.28,12.0,14.24,新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,EPS/獲利有支撐,核心 7/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 光學；訊號 5-10日波段
12,B,Y,80.65,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,65.29,76.11,6209,今國光,TWSE,光電,81.0,光學,3-5日延續,催化觀察,整理待確認,業績成長,70.66,71.04,3,2.15,18.7,18.59,54.58,2.72,-15.54,11.0,12.98,新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 股價站上 MA20,EPS/獲利有支撐,核心 7/8，加分 3/3；型態 早期起漲；結構 整理待確認；題材 光學；訊號 3-5日延續
13,A,N,80.96,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,8,6,2,63.82,68.05,6290,良維,TPEX,櫃電子零組件,293.0,AI,3-5日延續,催化觀察,結構未完成,尚未明確,8.61,9.58,3,0.25,-10.77,5.78,31.69,1.09,-21.87,13.0,16.32,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上,,核心 8/8，加分 2/3；型態 早期起漲；結構 結構未完成；題材 AI；訊號 3-5日延續
14,A,N,79.82,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,8,6,2,60.56,66.39,6274,台燿,TPEX,櫃電子零組件,1500.0,AI,3-5日延續,催化觀察,結構未完成,業績成長,128.49,99.6,3,-1.39,-1.69,3.45,198.21,1.72,-17.36,14.0,12.87,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 估值不極端 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上,,核心 8/8，加分 2/3；型態 早期起漲；結構 結構未完成；題材 AI；訊號 3-5日延續
