rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,93.34,early,早期起漲,Y,Y,early,早期起漲,Y,Y,continuation,強勢續攻,8,6,4,80.27,91.38,8932,智通*,TPEX,櫃其他,103.5,一般,5-10日波段,波段布局,回踩承接,業績成長,27.19,16.74,3,0.63,30.93,11.53,3.76,1.13,-4.17,7.0,15.68,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
2,A,Y,93.22,continuation,強勢續攻,N,N,,,Y,Y,continuation,強勢續攻,8,6,4,86.06,83.53,8299,群聯,TPEX,櫃半導體,2770.0,一般,待確認,一般觀察,回踩承接,業績成長,236.63,209.18,3,-8.72,9.85,30.97,53.89,1.0,-3.82,14.0,16.45,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
3,A,Y,87.81,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,4,62.93,85.39,6245,立端,TPEX,櫃通訊網路,89.8,一般,3-5日延續,催化觀察,回踩承接,業績成長,31.46,8.16,2,8.28,1.83,9.11,42.99,0.98,-4.77,4.0,10.76,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
4,A,Y,86.61,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,4,62.51,79.93,3213,茂訊,TPEX,櫃電腦週邊,122.0,一般,待確認,暫不出手,平台突破,業績成長,23.88,22.61,2,15.54,5.43,12.44,20.79,0.94,-2.01,0.0,14.33,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
5,A,Y,86.38,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,4,64.92,75.77,6894,衛司特,TPEX,櫃綠能環保,409.0,一般,待確認,暫不出手,平台突破,業績成長,88.37,70.81,3,20.32,3.57,16.86,41.28,1.6,-2.15,0.0,15.66,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
6,B,Y,85.96,continuation,強勢續攻,N,N,,,Y,Y,continuation,強勢續攻,7,6,4,77.43,86.04,3689,湧德,TPEX,櫃電子零組件,137.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,44.31,32.77,3,15.1,0.57,-1.08,27.91,1.44,-5.82,6.0,13.65,最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,20日報酬為正,核心 7/8，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
7,B,Y,81.6,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,4,60.95,81.32,4432,銘旺實,TPEX,櫃紡織,17.35,一般,待確認,暫不出手,回踩承接,業績成長,13.33,46.57,3,5.74,12.73,22.61,13.03,1.4,-4.67,0.0,14.79,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,MA60 在 MA120 之上,核心 7/8，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
8,A,N,85.98,continuation,強勢續攻,N,N,,,Y,N,continuation,強勢續攻,8,6,4,69.26,68.33,5289,宜鼎,TPEX,櫃電腦週邊,1905.0,一般,3-5日延續,催化觀察,平台突破,業績成長,583.11,490.37,3,-4.22,7.7,34.15,144.86,1.02,-2.31,12.0,14.7,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 股價站上 MA20 | 60日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5 | 估值不極端,,核心 8/8，加分 4/4；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
