rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.03,early,早期起漲,Y,Y,early,早期起漲,N,N,,,7,6,3,85.48,93.3,2313,華通,TWSE,電子零組件,268.5,低軌衛星,5-10日波段,波段布局,回踩承接,業績成長,11.12,17.11,3,4.02,24.39,3.27,51.69,1.03,-8.67,15.0,16.39,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 早期起漲；結構 回踩承接；題材 低軌衛星；訊號 5-10日波段
2,A,Y,94.67,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,7,6,3,85.09,92.01,2883,凱基金,TWSE,金融業,21.4,一般,3-5日延續,催化觀察,平台突破,業績成長,275.37,98.72,2,33.74,1.76,7.54,16.94,1.77,-2.95,11.0,12.87,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
3,A,Y,94.51,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,3,84.26,92.2,8086,宏捷科,TPEX,櫃半導體,150.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,47.95,60.47,3,8.27,11.42,19.92,22.36,0.84,-5.35,10.0,16.51,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
4,A,Y,94.47,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,83.53,92.94,2637,慧洋-KY,TWSE,航運,73.1,一般,5-10日波段,波段布局,回踩承接,業績成長,34.91,24.05,3,28.59,24.42,7.66,1.81,0.86,-5.31,5.0,17.17,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
5,A,Y,94.0,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,3,82.9,91.38,3406,玉晶光,TWSE,光電,540.0,矽光子,5-10日波段,波段布局,回踩承接,業績成長,14.32,14.28,3,9.36,26.12,21.62,15.88,1.13,-3.4,7.0,17.71,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 矽光子；訊號 5-10日波段
6,A,Y,93.89,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,80.11,94.32,6510,精測,TPEX,櫃半導體,3780.0,AI,待確認,一般觀察,整理待確認,業績成長,25.51,17.76,3,-1.68,18.92,19.43,17.39,1.13,-15.53,11.0,16.14,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；訊號 待確認
7,A,Y,93.46,early,早期起漲,Y,Y,early,早期起漲,Y,Y,continuation,強勢續攻,7,6,3,85.52,85.39,2330,台積電,TWSE,半導體,2275.0,低軌衛星,待確認,一般觀察,平台突破,業績成長,45.19,34.72,3,-24.24,25.75,25.69,29.63,1.1,-2.36,15.0,17.93,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 早期起漲；結構 平台突破；題材 低軌衛星；訊號 待確認
8,A,Y,93.3,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,3,80.37,91.04,6805,富世達,TWSE,電子零組件,2215.0,AI,5-10日波段,波段布局,平台突破,業績成長,95.02,87.3,3,13.99,10.4,17.51,57.09,1.13,-2.64,12.0,17.15,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
9,A,Y,92.77,early,早期起漲,Y,Y,early,早期起漲,N,N,,,7,6,3,78.25,91.06,3491,昇達科,TPEX,櫃通訊網路,1705.0,低軌衛星,待確認,一般觀察,整理待確認,業績成長,36.25,68.62,3,-0.34,28.75,14.05,52.23,0.9,-10.03,12.0,18.58,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 早期起漲；結構 整理待確認；題材 低軌衛星；訊號 待確認
10,A,Y,92.58,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,3,77.11,91.5,2395,研華,TWSE,電腦週邊,395.0,AI,3-5日延續,催化觀察,平台突破,業績成長,21.75,17.05,3,29.12,27.65,22.1,36.92,2.76,0.0,10.0,16.5,EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 20日報酬為正 | 流動性/財報品質達基本門檻,,核心 7/7，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 3-5日延續
