rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.76,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,84.62,93.01,6197,佳必琪,TWSE,電子零組件,182.5,一般,3-5日延續,高勝率候選,回踩承接,業績成長,12.34,21.17,3,3.77,17.43,6.82,27.03,1.47,-6.47,6.0,18.41,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
2,A,Y,94.04,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,84.94,89.0,6568,宏觀,TPEX,櫃半導體,250.0,AI,5-10日波段,波段布局,整理待確認,業績成長,65.87,28.38,3,10.65,0.33,14.94,91.57,1.26,-10.55,5.0,17.28,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 早期起漲；結構 整理待確認；題材 AI；訊號 5-10日波段
3,A,Y,91.89,continuation,強勢續攻,N,N,,,Y,Y,continuation,強勢續攻,10,8,2,73.95,91.99,5904,寶雅,TPEX,櫃居家生活,530.0,一般,5-10日波段,波段布局,回踩承接,業績成長,20.63,13.88,2,24.04,12.44,2.32,23.98,0.93,-3.81,4.0,18.13,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 5-10日波段
4,A,Y,91.38,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,72.42,91.39,3088,艾訊,TPEX,櫃電腦週邊,95.7,AI,5-10日波段,波段布局,回踩承接,業績成長,30.52,31.72,3,5.66,21.27,13.66,11.93,1.78,-8.86,4.0,14.91,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 5-10日波段
5,A,Y,91.18,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,76.26,85.56,8028,昇陽半導體,TWSE,半導體,213.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,25.57,20.3,3,14.75,15.0,6.77,13.6,1.71,-8.78,13.0,12.4,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
6,A,Y,89.72,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,1,82.05,90.68,3211,順達,TPEX,櫃電腦週邊,389.0,BBU,3-5日延續,高勝率候選,整理待確認,業績成長,76.33,42.89,3,8.92,16.97,11.94,36.49,2.3,-12.19,13.0,15.4,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 量比介於 0.8 到 2.5,,核心 10/10，加分 1/2；型態 早期起漲；結構 整理待確認；題材 BBU；訊號 3-5日延續
7,A,Y,89.59,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,72.12,82.78,6782,視陽,TWSE,生技,224.5,一般,待確認,暫不出手,回踩承接,業績成長,32.36,31.25,3,11.33,10.99,9.83,24.51,0.84,-7.26,1.0,17.98,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
8,A,Y,89.04,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,1,79.61,90.35,8086,宏捷科,TPEX,櫃半導體,137.0,軍工,3-5日延續,高勝率候選,整理待確認,業績成長,47.95,60.47,3,0.57,6.34,8.3,22.32,1.34,-13.84,10.0,16.5,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 量比介於 0.8 到 2.5,,核心 10/10，加分 1/2；型態 早期起漲；結構 整理待確認；題材 軍工；訊號 3-5日延續
9,A,Y,88.99,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,1,80.63,88.81,3689,湧德,TPEX,櫃電子零組件,126.0,一般,3-5日延續,催化觀察,整理待確認,業績成長,41.8,28.33,3,-2.15,3.2,8.62,3.28,0.87,-13.7,8.0,15.96,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 量比介於 0.8 到 2.5,,核心 10/10，加分 1/2；型態 早期起漲；結構 整理待確認；題材 一般；訊號 3-5日延續
10,A,Y,88.91,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,10,8,2,70.93,80.88,3577,泓格,TPEX,櫃電腦週邊,80.8,一般,待確認,暫不出手,回踩承接,業績成長,90.15,26.32,2,22.76,14.8,23.31,27.33,1.26,-3.98,0.0,18.19,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | MA20 在 MA60 之上 | 60日報酬為正 | 估值不極端 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 待確認
