rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.43,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,3,86.89,93.54,6187,萬潤,TPEX,櫃半導體,1225.0,一般,3-5日延續,高勝率候選,整理待確認,業績成長,26.14,20.47,3,6.34,1.79,7.93,214.91,1.1,-17.79,12.0,16.47,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 整理待確認；題材 一般；訊號 3-5日延續
2,A,Y,92.98,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,78.24,92.08,2891,中信金,TWSE,金融業,54.9,AI,3-5日延續,催化觀察,回踩承接,業績成長,31.54,31.31,3,-5.79,24.62,3.98,7.23,1.08,-3.68,15.0,12.3,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
3,A,Y,92.37,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,3,77.1,90.47,2882,國泰金,TWSE,金融業,77.3,AI,3-5日延續,催化觀察,回踩承接,業績成長,199.95,63.43,2,-8.03,11.42,6.04,1.44,1.06,-5.27,15.0,12.43,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
4,A,Y,92.05,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,3,74.73,91.83,5536,聖暉*,TPEX,櫃其他電子,950.0,AI,5-10日波段,波段布局,回踩承接,業績成長,15.17,26.01,3,4.94,28.6,15.57,48.9,1.54,-5.47,12.0,14.39,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 5-10日波段
5,A,Y,91.97,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,3,77.86,87.5,2376,技嘉,TWSE,電腦週邊,313.5,AI,3-5日延續,催化觀察,回踩承接,業績成長,73.66,65.3,3,17.38,4.37,12.37,36.9,1.04,-5.86,14.0,11.28,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 3-5日延續
6,A,Y,91.89,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,76.14,89.26,2883,凱基金,TWSE,金融業,21.95,一般,3-5日延續,催化觀察,回踩承接,業績成長,275.37,98.72,2,8.78,18.14,5.78,19.29,0.82,-4.98,13.0,12.83,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
7,A,Y,91.61,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,3,83.8,78.3,3529,力旺,TPEX,櫃半導體,3920.0,一般,待確認,一般觀察,結構未完成,業績成長,12.93,18.33,3,7.04,1.61,16.32,128.57,1.51,-18.08,12.0,19.41,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 結構未完成；題材 一般；訊號 待確認
8,A,Y,91.19,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,3,73.93,88.52,8091,翔名,TPEX,櫃半導體,196.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,35.26,36.93,3,0.3,12.8,5.95,44.65,1.37,-6.22,4.0,12.91,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
9,A,Y,90.66,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,3,75.18,84.3,5284,jpp-KY,TWSE,其他,394.0,軍工,待確認,一般觀察,平台突破,業績成長,54.65,50.79,3,-0.3,10.83,21.04,45.93,1.6,-2.72,6.0,16.25,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 強勢續攻；結構 平台突破；題材 軍工；訊號 待確認
10,A,Y,90.32,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,3,74.88,83.0,4739,康普,TWSE,化學,101.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,96.24,130.67,3,9.48,9.06,15.56,49.85,1.66,-5.61,8.0,12.0,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 6/6，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
