rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,93.38,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,79.44,92.61,8932,智通*,TPEX,櫃其他,100.5,一般,5-10日波段,波段布局,回踩承接,業績成長,27.19,16.74,3,0.63,6.7,13.56,0.75,1.05,-6.94,7.0,15.68,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
2,A,Y,93.19,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,3,80.79,89.98,3264,欣銓,TPEX,櫃半導體,243.5,AI,5-10日波段,波段布局,回踩承接,業績成長,27.79,25.76,3,6.47,2.36,13.52,75.18,2.11,-5.98,14.0,14.29,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 5-10日波段
3,A,Y,92.9,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,8,6,3,81.63,87.48,5274,信驊,TPEX,櫃半導體,18950.0,AI,5-10日波段,波段布局,平台突破,業績成長,81.59,70.39,3,12.5,16.12,8.01,118.95,2.1,-2.87,11.0,17.1,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
4,A,Y,87.57,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,3,65.68,80.76,6894,衛司特,TPEX,櫃綠能環保,389.5,一般,待確認,暫不出手,回踩承接,業績成長,88.37,70.81,3,9.89,19.33,15.92,32.71,2.47,-6.82,0.0,15.66,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
5,A,Y,85.53,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,3,61.54,75.71,3213,茂訊,TPEX,櫃電腦週邊,122.0,一般,待確認,暫不出手,平台突破,業績成長,23.88,22.61,2,17.48,9.94,14.55,23.73,0.9,-2.01,0.0,14.33,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
6,A,Y,83.59,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,66.15,76.87,5351,鈺創,TPEX,櫃半導體,86.2,AI,待確認,暫不出手,回踩承接,業績成長,417.06,375.89,3,3.16,6.05,20.39,75.92,0.74,-8.3,13.0,15.35,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上,,核心 8/8，加分 2/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
7,A,N,85.13,continuation,強勢續攻,Y,N,continuation,強勢續攻,Y,N,continuation,強勢續攻,8,6,3,64.58,69.94,5410,國眾,TPEX,櫃資訊服務,39.95,一般,待確認,暫不出手,平台突破,業績成長,122.27,61.43,2,15.36,12.39,20.88,36.58,1.22,-0.0,1.0,13.07,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上 | 量比介於 0.8 到 2.5,,核心 8/8，加分 3/3；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
8,A,N,82.96,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,8,6,2,70.97,67.69,8299,群聯,TPEX,櫃半導體,2575.0,AI,待確認,暫不出手,追高風險,業績成長,236.63,209.18,3,-12.49,8.46,28.11,51.03,0.74,-10.59,14.0,16.45,20日報酬為正 | 最新月營收年增 > 0 | EPS/獲利有支撐 | 法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | 股價站上 MA20 | 60日報酬為正 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | MA20 在 MA60 之上,,核心 8/8，加分 2/3；型態 早期起漲；結構 追高風險；題材 AI；訊號 待確認
