rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,93.75,early,早期起漲,N,N,,,Y,Y,early,早期起漲,7,6,4,82.21,91.01,8932,智通*,TPEX,櫃其他,102.0,一般,3-5日延續,高勝率候選,平台突破,業績成長,27.19,16.74,3,5.29,21.57,0.99,7.65,1.0,-2.86,7.0,16.98,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 早期起漲；結構 平台突破；題材 一般；訊號 3-5日延續
2,A,Y,86.23,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,4,63.7,76.52,5236,凌陽創新,TPEX,櫃半導體,179.0,AI,待確認,暫不出手,平台突破,業績成長,28.06,19.27,2,13.66,44.57,16.61,46.72,2.5,0.0,2.0,18.17,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 強勢續攻；結構 平台突破；題材 AI；訊號 待確認
3,A,Y,85.48,early,早期起漲,N,N,,,Y,Y,early,早期起漲,7,6,4,60.35,76.94,4543,萬在,TPEX,櫃電機,38.9,一般,待確認,暫不出手,整理待確認,業績成長,8.53,18.06,2,4.13,1.78,1.57,26.71,0.92,-11.59,0.0,17.02,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
4,A,Y,84.23,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,66.58,82.06,3357,臺慶科,TPEX,櫃電子零組件,210.0,AI,待確認,一般觀察,整理待確認,業績成長,15.42,8.03,2,-2.29,4.51,11.7,40.94,1.25,-15.83,10.0,16.42,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5,,核心 7/7，加分 3/4；型態 早期起漲；結構 整理待確認；題材 AI；訊號 待確認
5,A,N,86.98,early,早期起漲,Y,N,early,早期起漲,N,N,,,7,6,4,73.13,68.47,3088,艾訊,TPEX,櫃電腦週邊,131.0,AI,5-10日波段,波段布局,回踩承接,業績成長,65.88,37.0,3,12.95,32.58,27.18,58.79,0.89,-3.68,4.0,18.01,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；訊號 5-10日波段
6,A,N,86.06,continuation,強勢續攻,N,N,,,Y,N,continuation,強勢續攻,7,6,4,68.21,70.02,3675,德微,TPEX,櫃半導體,283.5,一般,待確認,一般觀察,平台突破,業績成長,19.1,12.78,3,-1.41,42.41,33.1,93.52,1.39,0.0,6.0,13.95,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
7,A,N,85.25,continuation,強勢續攻,Y,N,continuation,強勢續攻,Y,N,continuation,強勢續攻,7,6,4,61.64,74.18,5410,國眾,TPEX,櫃資訊服務,37.45,一般,待確認,暫不出手,平台突破,業績成長,122.27,61.43,2,7.85,7.76,17.03,25.88,1.07,-2.47,0.0,15.04,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 股價站上 MA20 | MA20 在 MA60 之上 | 20日報酬為正 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.8 到 2.5,,核心 7/7，加分 4/4；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
