rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,93.91,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,3,83.18,90.56,5536,聖暉*,TPEX,櫃其他電子,1130.0,AI,3-5日延續,高勝率候選,回踩承接,業績成長,15.17,26.01,3,9.83,35.46,26.12,62.12,1.26,-6.22,12.0,16.14,EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | 20日報酬為正 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.8 到 2.5 | MA60 在 MA120 之上 | 股價站上 MA20 | 估值不極端 | MA20 在 MA60 之上,,核心 7/7，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
2,A,Y,91.76,early,早期起漲,Y,Y,early,早期起漲,Y,Y,continuation,強勢續攻,7,6,3,73.73,91.64,8932,智通*,TPEX,櫃其他,102.0,一般,待確認,一般觀察,回踩承接,業績成長,27.19,16.74,3,9.21,20.77,10.27,5.7,0.97,-5.56,7.0,15.68,EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | 20日報酬為正 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.8 到 2.5 | MA60 在 MA120 之上 | 股價站上 MA20 | 估值不極端 | MA20 在 MA60 之上,,核心 7/7，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
3,A,Y,89.01,early,早期起漲,Y,Y,early,早期起漲,N,N,,,7,6,3,68.39,84.55,5351,鈺創,TPEX,櫃半導體,86.2,AI,待確認,一般觀察,整理待確認,業績成長,605.48,474.05,3,-4.05,10.02,7.62,41.78,1.88,-10.21,13.0,15.35,EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | 20日報酬為正 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.8 到 2.5 | MA60 在 MA120 之上 | 股價站上 MA20 | 估值不極端 | MA20 在 MA60 之上,,核心 7/7，加分 3/3；型態 早期起漲；結構 整理待確認；題材 AI；訊號 待確認
4,A,Y,82.85,early,早期起漲,Y,Y,early,早期起漲,N,N,,,7,6,2,70.67,75.9,6223,旺矽,TPEX,櫃半導體,5765.0,AI,待確認,一般觀察,結構未完成,業績成長,52.6,45.59,3,-1.48,3.82,15.65,75.49,0.84,-13.5,12.0,16.59,EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | 20日報酬為正 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.8 到 2.5 | MA60 在 MA120 之上 | 估值不極端 | MA20 在 MA60 之上,,核心 7/7，加分 2/3；型態 早期起漲；結構 結構未完成；題材 AI；訊號 待確認
5,B,N,80.88,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,6,6,3,65.48,74.48,3088,艾訊,TPEX,櫃電腦週邊,138.5,AI,待確認,暫不出手,回踩承接,業績成長,65.88,37.0,3,3.71,12.38,8.2,68.9,0.6,-8.88,4.0,16.09,EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | 20日報酬為正 | 最新月營收年增 > 0 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 估值不極端 | MA20 在 MA60 之上,量比介於 0.8 到 2.5,核心 6/7，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
