rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.02,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,6,83.4,90.84,3324,雙鴻,TPEX,櫃其他電子,1165.0,散熱,5-10日波段,波段布局,整理待確認,業績成長,40.9,66.53,3,9.67,25.57,5.43,17.8,2.13,-10.73,11.0,14.64,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 早期起漲；結構 整理待確認；題材 散熱；訊號 5-10日波段
2,A,Y,92.29,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,6,83.24,82.42,8299,群聯,TPEX,櫃半導體,2820.0,一般,待確認,一般觀察,平台突破,業績成長,236.63,209.18,3,-4.82,0.25,21.29,59.32,1.13,-2.08,14.0,16.45,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
3,A,Y,91.59,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,6,79.07,84.11,5351,鈺創,TPEX,櫃半導體,92.9,AI,5-10日波段,波段布局,平台突破,業績成長,417.06,375.89,3,9.16,12.28,18.34,80.74,1.37,-2.62,13.0,15.35,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
4,A,Y,89.08,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,6,65.62,88.39,6245,立端,TPEX,櫃通訊網路,91.4,一般,3-5日延續,催化觀察,回踩承接,業績成長,31.46,8.16,2,8.04,11.34,11.33,42.81,0.99,-3.08,4.0,10.76,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
5,A,Y,88.87,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,6,68.25,84.05,8227,巨有科技,TPEX,櫃半導體,223.0,一般,3-5日延續,催化觀察,整理待確認,業績成長,207.02,114.34,3,-8.24,5.45,20.22,69.58,1.06,-10.44,5.0,11.02,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 早期起漲；結構 整理待確認；題材 一般；訊號 3-5日延續
6,A,Y,86.85,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,6,5,6,67.21,75.23,8088,品安,TPEX,櫃半導體,65.6,一般,待確認,一般觀察,平台突破,業績成長,2.13,30.3,3,-0.64,15.14,21.03,38.11,2.2,-1.2,7.0,10.38,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
7,A,Y,86.63,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,6,62.28,80.28,3171,炎洲流通,TPEX,櫃居家生活,72.7,一般,待確認,暫不出手,平台突破,業績成長,126.35,92.43,3,0.78,34.58,4.6,38.74,1.91,-1.49,0.0,15.55,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5 | MA20 在 MA60 之上,,核心 6/6，加分 6/6；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
8,A,Y,85.55,early,早期起漲,N,N,,,Y,Y,early,早期起漲,6,5,5,69.24,81.97,3260,威剛,TPEX,櫃半導體,469.5,一般,3-5日延續,催化觀察,整理待確認,業績成長,169.51,155.1,3,-0.1,16.36,1.73,63.3,2.74,-10.57,15.0,13.58,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | MA20 在 MA60 之上,,核心 6/6，加分 5/6；型態 早期起漲；結構 整理待確認；題材 一般；訊號 3-5日延續
9,B,Y,78.1,early,早期起漲,N,N,,,Y,Y,early,早期起漲,5,5,5,62.71,77.41,6712,長聖,TPEX,櫃生技,138.0,一般,待確認,暫不出手,整理待確認,業績成長,26.19,14.89,3,5.22,7.38,6.15,0.28,1.81,-2.42,1.0,16.22,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | 量比介於 0.8 到 2.5,MA60 在 MA120 之上,核心 5/6，加分 5/6；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
10,A,N,83.07,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,6,5,5,66.34,73.17,3088,艾訊,TPEX,櫃電腦週邊,141.0,AI,待確認,暫不出手,回踩承接,業績成長,65.88,37.0,3,5.0,13.11,17.01,74.29,0.79,-7.24,4.0,16.09,最新月營收年增 > 0 | EPS/獲利有支撐 | 20日報酬為正 | 近3月營收維持年增，且正成長月數 >= 2 | 法人/主力籌碼未明顯轉弱 | MA60 在 MA120 之上 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 60日報酬為正 | 估值不極端 | MA20 在 MA60 之上,,核心 6/6，加分 5/6；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
