rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,95.74,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,10,8,2,92.09,88.58,2330,台積電,TWSE,半導體,2185.0,CoWoS,5-10日波段,波段布局,平台突破,業績成長,45.19,34.72,3,7.97,12.67,18.75,24.15,1.45,-0.23,15.0,18.04,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 平台突破；題材 CoWoS；訊號 5-10日波段
2,A,Y,94.9,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,88.2,89.27,8016,矽創,TWSE,半導體,229.5,一般,5-10日波段,波段布局,回踩承接,業績成長,29.27,22.09,3,6.17,9.65,15.04,20.79,1.76,-7.65,4.0,16.98,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
3,A,Y,93.5,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,82.46,89.44,5443,均豪,TPEX,櫃半導體,117.0,CoWoS,5-10日波段,波段布局,回踩承接,業績成長,63.97,25.52,2,1.68,23.6,11.96,23.94,1.23,-7.14,10.0,14.83,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 CoWoS；訊號 5-10日波段
4,A,Y,93.33,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,10,8,2,82.73,88.22,6691,洋基工程,TWSE,其他電子,675.0,一般,5-10日波段,波段布局,回踩承接,業績成長,112.73,76.76,3,19.02,7.73,14.41,14.6,1.35,-4.26,6.0,14.83,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 5-10日波段
5,A,Y,93.16,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,10,8,2,84.22,85.5,6568,宏觀,TPEX,櫃半導體,271.0,AI,5-10日波段,波段布局,回踩承接,業績成長,65.87,28.38,3,9.7,14.52,24.31,101.49,1.11,-3.04,5.0,17.28,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 5-10日波段
6,A,Y,92.97,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,10,8,2,83.82,85.06,8064,東捷,TPEX,櫃光電,84.2,一般,5-10日波段,波段布局,回踩承接,業績成長,27.24,30.35,3,1.52,29.59,12.72,47.72,1.64,-4.1,10.0,18.27,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 5-10日波段
7,A,Y,92.7,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,2,78.96,89.8,3689,湧德,TPEX,櫃電子零組件,133.0,一般,待確認,一般觀察,回踩承接,業績成長,41.8,28.33,3,-0.24,5.76,18.22,11.76,0.87,-8.9,8.0,15.96,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
8,A,Y,92.07,continuation,強勢續攻,N,N,,,Y,Y,continuation,強勢續攻,10,8,2,74.52,92.19,2347,聯強,TWSE,電子通路,82.6,AI,3-5日延續,催化觀察,回踩承接,業績成長,64.42,36.51,3,2.97,7.05,1.85,26.88,0.85,-3.28,10.0,9.56,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 3-5日延續
9,A,Y,91.73,continuation,強勢續攻,N,N,,,Y,Y,continuation,強勢續攻,10,8,2,80.38,83.18,1773,勝一,TWSE,化學,175.5,一般,待確認,一般觀察,平台突破,業績成長,17.14,11.92,2,18.43,29.85,24.03,9.35,1.95,-1.96,7.0,17.1,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 平台突破；題材 一般；訊號 待確認
10,A,Y,91.4,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,10,8,2,79.64,82.44,3374,精材,TPEX,櫃半導體,198.5,一般,5-10日波段,波段布局,平台突破,業績成長,14.25,25.26,3,-5.25,10.95,24.84,10.58,2.4,-2.46,11.0,16.64,法人/主力籌碼未明顯轉弱 | 近3月營收維持年增，且正成長月數 >= 2 | EPS/獲利有支撐 | 60日報酬為正 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 估值不極端 | 股價站上 MA20 | 量比介於 0.8 到 2.5 | 流動性/財報品質達基本門檻,,核心 10/10，加分 2/2；型態 強勢續攻；結構 平台突破；題材 一般；訊號 5-10日波段
