rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,91.71,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,10,8,3,79.25,84.5,6274,台燿,TPEX,櫃電子零組件,1670.0,AI,3-5日延續,催化觀察,回踩承接,業績成長,128.49,99.6,3,5.62,9.31,26.04,210.41,0.95,-7.99,14.0,12.87,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | 估值不極端 | 60日報酬為正,,核心 10/10，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 3-5日延續
2,A,Y,89.8,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,10,8,3,71.76,84.28,3546,宇峻,TPEX,櫃文化創意,86.1,AI,待確認,暫不出手,平台突破,業績成長,61.34,47.14,3,4.65,2.35,6.82,22.48,1.41,-0.92,0.0,17.35,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | 估值不極端 | 60日報酬為正,,核心 10/10，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 待確認
3,A,Y,84.66,early,早期起漲,Y,Y,early,早期起漲,N,N,,,10,8,2,69.43,78.8,7734,印能科技,TPEX,櫃半導體,3350.0,CoPoS,待確認,一般觀察,結構未完成,業績成長,137.06,87.33,3,-6.98,2.03,0.15,80.59,1.21,-27.72,7.0,16.27,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 估值不極端 | 60日報酬為正,,核心 10/10，加分 2/3；型態 早期起漲；結構 結構未完成；題材 CoPoS；訊號 待確認
4,A,N,85.47,early,早期起漲,Y,N,early,早期起漲,Y,N,continuation,強勢續攻,10,8,3,62.87,73.75,6435,大中,TPEX,櫃半導體,289.0,一般,待確認,暫不出手,回踩承接,業績成長,22.2,15.57,3,1.57,8.47,25.38,75.15,0.93,-5.71,2.0,15.53,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | 估值不極端 | 60日報酬為正,,核心 10/10，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
5,A,N,85.0,early,早期起漲,Y,N,early,早期起漲,N,N,,,10,8,3,60.97,73.78,8086,宏捷科,TPEX,櫃半導體,162.5,軍工,待確認,暫不出手,整理待確認,業績成長,36.98,44.77,3,-1.64,-6.14,9.06,33.74,0.74,-11.2,10.0,14.07,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | 估值不極端 | 60日報酬為正,,核心 10/10，加分 3/3；型態 早期起漲；結構 整理待確認；題材 軍工；訊號 待確認
6,A,N,83.18,early,早期起漲,Y,N,early,早期起漲,N,N,,,10,8,2,69.5,71.29,3105,穩懋,TPEX,櫃半導體,519.0,AUTO:AI,待確認,暫不出手,結構未完成,業績成長,40.3,41.15,3,3.31,13.77,7.45,64.76,0.78,-18.52,15.0,12.12,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 估值不極端 | 60日報酬為正,,核心 10/10，加分 2/3；型態 早期起漲；結構 結構未完成；題材 AUTO:AI；訊號 待確認
7,B,N,81.52,continuation,強勢續攻,Y,N,continuation,強勢續攻,Y,N,continuation,強勢續攻,9,8,3,62.77,74.08,5274,信驊,TPEX,櫃半導體,18485.0,AI,待確認,暫不出手,回踩承接,業績成長,68.74,71.32,3,15.95,3.6,12.44,61.23,0.46,-5.25,11.0,17.1,EPS/獲利有支撐 | 20日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 距 60 日高點回檔介於 -12% 到 +1% | 估值不極端 | 60日報酬為正,量比介於 0.5 到 3.2,核心 9/10，加分 3/3；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 待確認
8,B,N,76.29,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,9,8,2,64.3,67.28,3675,德微,TPEX,櫃半導體,335.0,一般,3-5日延續,催化觀察,結構未完成,業績成長,24.42,18.68,3,2.27,0.47,5.85,70.48,0.97,-18.89,6.0,12.0,EPS/獲利有支撐 | 20日報酬為正 | 法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | MA60 在 MA120 之上 | 估值不極端 | 60日報酬為正,股價站上 MA20,核心 9/10，加分 2/3；型態 早期起漲；結構 結構未完成；題材 一般；訊號 3-5日延續
