rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.16,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,8,6,2,85.37,89.07,6805,富世達,TWSE,電子零組件,2070.0,AI,5-10日波段,波段布局,平台突破,業績成長,95.02,87.3,3,5.56,30.27,8.66,61.09,1.85,-1.66,12.0,17.16,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
2,A,Y,94.07,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,83.4,91.11,8112,至上,TWSE,電子通路,89.1,一般,3-5日延續,催化觀察,回踩承接,業績成長,191.71,133.68,3,5.71,16.72,13.65,16.62,1.91,-8.99,11.0,13.14,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
3,A,Y,93.92,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,8,6,2,85.23,88.05,3533,嘉澤,TWSE,電子零組件,2710.0,AI,5-10日波段,波段布局,平台突破,業績成長,23.4,19.98,3,5.98,3.38,19.91,90.18,1.48,-1.81,12.0,15.68,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
4,A,Y,93.49,early,早期起漲,Y,Y,early,早期起漲,N,N,,,8,6,2,82.54,89.25,3260,威剛,TPEX,櫃半導體,440.0,一般,待確認,一般觀察,整理待確認,業績成長,181.48,164.9,3,-4.43,15.57,12.68,47.65,1.73,-16.19,15.0,16.09,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
5,A,Y,93.23,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,8,6,2,83.57,86.71,4967,十銓,TWSE,半導體,284.0,一般,5-10日波段,波段布局,平台突破,業績成長,120.49,70.34,2,2.64,13.22,24.29,35.56,2.34,-1.56,12.0,14.4,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 強勢續攻；結構 平台突破；題材 一般；訊號 5-10日波段
6,A,Y,92.75,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,79.2,89.77,6197,佳必琪,TWSE,電子零組件,178.0,一般,待確認,一般觀察,整理待確認,業績成長,12.34,21.17,3,-4.13,2.52,3.79,20.27,0.9,-11.44,6.0,18.41,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 整理待確認；題材 一般；訊號 待確認
7,A,Y,91.46,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,71.53,92.9,2880,華南金,TWSE,金融業,35.25,AI,待確認,一般觀察,回踩承接,業績成長,32.61,22.1,3,-1.5,0.61,5.22,6.66,1.14,-7.48,10.0,13.48,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
8,A,Y,90.97,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,early,早期起漲,8,6,2,76.56,84.16,2330,台積電,TWSE,半導體,2265.0,CoWoS,5-10日波段,波段布局,平台突破,業績成長,45.19,34.72,3,1.05,23.06,24.45,27.61,2.1,-2.79,15.0,18.04,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 強勢續攻；結構 平台突破；題材 CoWoS；訊號 5-10日波段
9,A,Y,89.95,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,69.18,88.28,3033,威健,TWSE,電子通路,35.65,一般,3-5日延續,催化觀察,回踩承接,業績成長,12.61,20.43,2,34.59,31.97,9.69,16.69,2.09,-7.28,4.0,8.95,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
10,A,Y,88.93,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,8,6,2,62.97,90.92,4904,遠傳,TWSE,通訊網路,96.0,AI,待確認,一般觀察,平台突破,尚未明確,3.65,6.78,3,-9.08,0.91,3.67,6.31,0.97,-2.54,10.0,13.96,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 近3月營收維持年增，且正成長月數 >= 2 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 估值不極端 | 股價站上 MA20 | 20日報酬為正,,核心 8/8，加分 2/2；型態 早期起漲；結構 平台突破；題材 AI；訊號 待確認
