rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,94.97,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,5,4,87.07,90.99,6223,旺矽,TPEX,櫃半導體,6135.0,AI,5-10日波段,波段布局,回踩承接,業績成長,52.6,45.59,3,5.8,0.8,19.47,121.08,1.09,-7.95,12.0,18.54,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 早期起漲；結構 回踩承接；題材 AI；訊號 5-10日波段
2,A,Y,92.48,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,4,78.64,89.12,3491,昇達科,TPEX,櫃通訊網路,1855.0,低軌衛星,5-10日波段,波段布局,平台突破,業績成長,83.99,59.1,3,4.08,25.14,9.44,43.24,1.43,-2.11,12.0,16.92,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 強勢續攻；結構 平台突破；題材 低軌衛星；訊號 5-10日波段
3,A,Y,91.23,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,4,74.81,87.65,6291,沛亨,TPEX,櫃半導體,494.0,一般,5-10日波段,波段布局,回踩承接,業績成長,42.11,37.94,3,-2.87,5.62,18.04,115.72,0.89,-7.84,8.0,17.42,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 5-10日波段
4,A,Y,87.07,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,6,5,4,67.99,75.36,8147,正淩,TPEX,櫃電子零組件,190.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,19.54,18.95,3,19.91,2.9,20.19,44.32,1.05,-3.54,5.0,13.94,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
5,A,Y,87.06,early,早期起漲,Y,Y,early,早期起漲,Y,Y,continuation,強勢續攻,6,5,4,66.54,77.13,6498,久禾光,TPEX,櫃光電,108.0,一般,待確認,暫不出手,回踩承接,業績成長,37.28,33.99,3,1.84,3.43,13.21,19.73,1.83,-5.26,0.0,17.93,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
6,A,Y,86.81,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,5,4,60.16,83.84,7810,捷創科技,TPEX,櫃半導體,258.5,一般,待確認,暫不出手,回踩承接,業績成長,82.69,52.54,3,2.0,19.44,9.07,30.23,1.93,-9.62,0.0,15.09,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
7,A,N,85.85,early,早期起漲,Y,N,early,早期起漲,Y,N,continuation,強勢續攻,6,5,4,66.83,70.72,3675,德微,TPEX,櫃半導體,258.0,一般,待確認,一般觀察,回踩承接,業績成長,19.1,12.78,3,-0.84,23.33,26.78,72.58,1.05,-5.15,6.0,13.95,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 量比介於 0.8 到 2.5 | 股價站上 MA20,,核心 6/6，加分 4/4；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
8,A,N,80.4,early,早期起漲,Y,N,early,早期起漲,N,N,,,6,5,3,61.02,71.73,5236,凌陽創新,TPEX,櫃半導體,163.0,AI,待確認,暫不出手,回踩承接,業績成長,28.06,19.27,2,6.27,9.52,7.59,35.27,0.36,-8.68,2.0,18.17,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 股價站上 MA20,,核心 6/6，加分 3/4；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
9,A,N,79.16,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,6,5,3,65.02,60.55,5351,鈺創,TPEX,櫃半導體,85.3,AI,待確認,暫不出手,回踩承接,業績成長,417.06,375.89,3,3.1,2.82,29.24,48.35,0.61,-9.26,13.0,17.3,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 最新月營收年增 > 0 | 60日報酬為正 | MA20 在 MA60 之上 | 20日報酬為正 | 股價站上 MA20,,核心 6/6，加分 3/4；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
