rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,91.03,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,12,9,1,77.95,82.71,3374,精材,TPEX,櫃半導體,301.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,43.32,27.74,3,29.22,-3.86,18.24,91.43,1.07,-5.04,13.0,13.09,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 12/12，加分 1/1；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
2,A,Y,88.48,early,早期起漲,Y,Y,early,早期起漲,N,N,,,12,9,1,68.42,81.88,6274,台燿,TPEX,櫃電子零組件,1700.0,AI,3-5日延續,催化觀察,整理待確認,業績成長,128.49,99.6,3,3.63,-14.79,10.39,182.39,1.04,-11.46,14.0,12.86,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 12/12，加分 1/1；型態 早期起漲；結構 整理待確認；題材 AI；訊號 3-5日延續
3,A,Y,85.38,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,12,9,1,61.12,75.52,3088,艾訊,TPEX,櫃電腦週邊,142.5,機器人,待確認,暫不出手,回踩承接,業績成長,49.04,48.48,3,33.07,4.91,1.79,73.99,0.55,-6.25,4.0,16.06,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 12/12，加分 1/1；型態 早期起漲；結構 回踩承接；題材 機器人；訊號 待確認
4,B,Y,84.67,early,早期起漲,Y,Y,early,早期起漲,N,N,,,11,9,1,69.86,82.29,8299,群聯,TPEX,櫃半導體,2475.0,存儲記憶體,待確認,一般觀察,整理待確認,業績成長,301.23,253.11,3,-4.21,-1.94,1.02,54.21,0.95,-14.06,14.0,16.46,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,距 60 日高點回檔介於 -12% 到 +1%,核心 11/12，加分 1/1；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；訊號 待確認
5,B,Y,81.12,early,早期起漲,N,N,,,Y,Y,early,早期起漲,11,9,1,60.73,75.94,3265,台星科,TPEX,櫃半導體,188.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,22.06,28.41,3,6.37,-7.24,-0.53,31.47,1.0,-8.07,6.0,12.57,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,20日報酬為正,核心 11/12，加分 1/1；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
6,A,N,85.03,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,12,9,1,60.45,74.61,3546,宇峻,TPEX,櫃文化創意,83.6,AI,待確認,暫不出手,回踩承接,業績成長,61.34,47.14,3,5.86,-15.67,3.47,19.26,0.63,-3.8,0.0,17.35,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 12/12，加分 1/1；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
7,A,N,81.54,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,12,9,1,63.76,53.01,5536,聖暉*,TPEX,櫃其他電子,1350.0,AI,待確認,暫不出手,平台突破,業績成長,27.8,34.36,3,17.8,6.49,30.43,81.7,0.79,-2.88,10.0,16.14,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,,核心 12/12，加分 1/1；型態 早期起漲；結構 平台突破；題材 AI；訊號 待確認
8,B,N,81.0,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,11,9,1,66.51,68.13,6548,長科*,TPEX,櫃半導體,86.6,一般,3-5日延續,催化觀察,追高風險,業績成長,36.65,27.09,3,-4.85,-17.01,30.42,81.36,1.53,-16.73,11.0,12.33,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,距 60 日高點回檔介於 -12% 到 +1%,核心 11/12，加分 1/1；型態 早期起漲；結構 追高風險；題材 一般；訊號 3-5日延續
9,B,N,77.8,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,11,9,0,60.83,70.58,4147,中裕,TPEX,櫃生技,63.0,光學,3-5日延續,催化觀察,回踩承接,轉虧為盈,42.94,21.75,3,10.72,3.26,33.76,17.1,0.85,-5.55,4.0,8.41,法人/主力籌碼未明顯轉弱 | MA20 在 MA60 之上 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 距 60 日高點回檔介於 -12% 到 +1% | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2,MA60 在 MA120 之上,核心 11/12，加分 0/1；型態 早期起漲；結構 回踩承接；題材 光學；訊號 3-5日延續
10,C,N,83.87,early,早期起漲,Y,N,early,早期起漲,N,N,,,10,9,1,82.56,86.51,1815,富喬,TPEX,櫃電子零組件,107.0,AUTO:AI,5-10日波段,波段布局,整理待確認,業績成長,49.9,45.36,3,8.3,13.95,3.38,3.38,1.0,-17.37,14.0,14.23,法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,MA20 在 MA60 之上 | 距 60 日高點回檔介於 -12% 到 +1%,核心 10/12，加分 1/1；型態 早期起漲；結構 整理待確認；題材 AUTO:AI；訊號 5-10日波段
11,C,N,82.52,early,早期起漲,Y,N,early,早期起漲,N,N,,,10,9,1,80.32,82.58,6584,南俊國際,TPEX,櫃電子零組件,728.0,AI,5-10日波段,波段布局,整理待確認,業績成長,46.98,44.94,3,12.3,55.91,5.51,20.93,1.8,-14.85,7.0,16.87,法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,MA20 在 MA60 之上 | 距 60 日高點回檔介於 -12% 到 +1%,核心 10/12，加分 1/1；型態 早期起漲；結構 整理待確認；題材 AI；訊號 5-10日波段
12,C,N,74.25,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,10,9,1,63.28,62.49,6683,雍智科技,TPEX,櫃半導體,1885.0,一般,3-5日延續,催化觀察,結構未完成,業績成長,12.31,26.21,3,-4.47,-6.44,10.88,24.01,1.8,-26.51,11.0,16.65,法人/主力籌碼未明顯轉弱 | 新聞/題材有催化且風險不高 | 60日報酬為正 | EPS/獲利有支撐 | 股價站上 MA20 | 量比介於 0.5 到 3.2 | 20日報酬為正 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端,MA20 在 MA60 之上 | 距 60 日高點回檔介於 -12% 到 +1%,核心 10/12，加分 1/1；型態 早期起漲；結構 結構未完成；題材 一般；訊號 3-5日延續
