rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,funding_behavior_label,funding_behavior_reason,chips_trend_4d,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
11,A,Y,86.4,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,5,63.69,77.41,3441,聯一光,TPEX,櫃光電,84.4,光學,待確認,一般觀察,未明確,法人占比 -3.82% / 5日 -1.49%；外資 -663 張，投信 +0 張，自營 -1 張；分點主力 -658 張，占比 -3.78%；籌碼4日上升 1/3，20日報酬 13.59%，距60日高點 -11.90%；外資方向與5日法人方向一致,1,整理待確認,業績成長,12.11,43.98,3,-1.49,-3.78,13.59,89.88,1.06,-11.9,9.0,15.01,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA20 在 MA60 之上 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 5/5；型態 早期起漲；結構 整理待確認；題材 光學；資金 未明確；訊號 待確認
12,A,Y,85.4,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,78.83,80.96,2455,全新,TWSE,通訊網路,364.0,矽光子,待確認,一般觀察,未明確,"法人占比 -12.96% / 5日 -2.52%；外資 -1,948 張，投信 +4 張，自營 +66 張；分點主力 -2,592 張，占比 -7.47%；籌碼4日上升 1/3，20日報酬 10.64%，距60日高點 -20.87%；外資方向與5日法人方向一致",1,結構未完成,業績成長,45.12,38.39,3,-2.52,-7.47,10.64,1.53,1.61,-20.87,13.0,19.39,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 結構未完成；題材 矽光子；資金 未明確；訊號 待確認
13,A,Y,84.88,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,78.95,78.19,3037,欣興,TWSE,電子零組件,955.0,AI,待確認,一般觀察,未明確,法人占比 -3.63% / 5日 9.52%；外資 -791 張，投信 +74 張，自營 -48 張；分點主力 -976 張，占比 -4.64%；籌碼4日上升 1/3，20日報酬 5.76%，距60日高點 -15.49%,1,整理待確認,業績成長,43.69,37.46,3,9.52,-4.64,5.76,16.32,0.8,-15.49,15.0,17.34,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 待確認
14,A,Y,84.8,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,4,78.96,77.79,6187,萬潤,TPEX,櫃半導體,1130.0,CoPoS,3-5日延續,催化觀察,未明確,法人占比 0.97% / 5日 9.99%；外資 +132 張，投信 -61 張，自營 -47 張；分點主力 -114 張，占比 -4.60%；籌碼4日上升 0/3，20日報酬 9.18%，距60日高點 -12.40%；外資方向與5日法人方向一致,0,整理待確認,業績成長,73.44,68.09,3,9.99,-4.6,9.18,0.44,1.03,-12.4,12.0,16.48,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 4/5；型態 早期起漲；結構 整理待確認；題材 CoPoS；資金 未明確；訊號 3-5日延續
15,A,Y,81.16,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,3,80.76,84.83,3260,威剛,TPEX,櫃半導體,416.0,存儲記憶體,3-5日延續,催化觀察,未明確,"法人占比 5.32% / 5日 1.21%；外資 +1,322 張，投信 -13 張，自營 -258 張；分點主力 +603 張，占比 3.05%；籌碼4日上升 1/3，20日報酬 2.72%，距60日高點 -13.51%；外資方向與5日法人方向一致",1,整理待確認,業績成長,331.29,251.26,3,1.21,3.05,2.72,-2.12,1.64,-13.51,14.0,13.35,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；資金 未明確；訊號 3-5日延續
16,A,Y,80.26,early,早期起漲,N,N,,,Y,Y,early,早期起漲,4,3,3,79.71,79.56,8016,矽創,TWSE,半導體,310.5,AUTO:AI,5-10日波段,波段布局,③護盤支撐,法人占比 10.66% / 5日 16.78%；外資 +255 張，投信 -14 張，自營 +18 張；分點主力 +115 張，占比 4.72%；籌碼4日上升 1/3，20日報酬 -5.05%，距60日高點 -17.53%；外資方向與5日法人方向一致,1,整理待確認,業績成長,34.48,33.64,3,16.78,4.72,-5.05,13.32,1.64,-17.53,7.0,16.52,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | MA60 在 MA120 之上 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 整理待確認；題材 AUTO:AI；資金 ③護盤支撐；訊號 5-10日波段
17,A,Y,80.12,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,3,81.79,76.26,3324,雙鴻,TPEX,櫃其他電子,1015.0,散熱,待確認,一般觀察,未明確,法人占比 4.65% / 5日 8.82%；外資 +362 張，投信 -1 張，自營 -154 張；分點主力 -647 張，占比 -14.53%；籌碼4日上升 0/3，20日報酬 12.15%，距60日高點 -21.62%；外資方向與5日法人方向一致,0,結構未完成,業績成長,116.7,90.86,3,8.82,-14.53,12.15,2.01,1.75,-21.62,11.0,15.29,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | 60日報酬為正 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 結構未完成；題材 散熱；資金 未明確；訊號 待確認
18,A,Y,79.84,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,3,79.85,79.37,3443,創意,TWSE,半導體,4545.0,一般,待確認,一般觀察,①長線建倉,法人占比 5.74% / 5日 10.29%；外資 +19 張，投信 +101 張，自營 -17 張；分點主力 +171 張，占比 9.53%；籌碼4日上升 2/3，20日報酬 6.44%，距60日高點 -19.13%；外資方向與5日法人方向一致,2,結構未完成,業績成長,158.38,131.41,3,10.29,9.53,6.44,-6.19,1.03,-19.13,12.0,16.13,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 結構未完成；題材 一般；資金 ①長線建倉；訊號 待確認
19,A,Y,79.04,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,3,79.56,75.75,2451,創見,TWSE,半導體,297.0,機器人,待確認,一般觀察,②短炒拉轎,"法人占比 30.39% / 5日 4.03%；外資 +3,002 張，投信 -4 張，自營 -81 張；分點主力 +2,265 張，占比 21.32%；籌碼4日上升 2/3，20日報酬 17.62%，距60日高點 -22.45%；今日法人占比相對5日均值突刺；外資方向與5日法人方向一致；分點主力買超占比偏高",2,結構未完成,業績成長,307.66,386.35,3,4.03,21.32,17.62,-11.61,1.13,-22.45,14.0,19.21,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 結構未完成；題材 機器人；資金 ②短炒拉轎；訊號 待確認
20,A,Y,77.75,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,4,3,3,71.66,79.17,7750,新代,TWSE,電機機械,2330.0,AI,待確認,一般觀察,未明確,法人占比 -13.01% / 5日 11.07%；外資 -17 張，投信 -39 張，自營 -1 張；分點主力 -2 張，占比 -0.46%；籌碼4日上升 1/3，20日報酬 14.78%，距60日高點 -16.04%,1,整理待確認,業績成長,151.4,111.51,3,11.07,-0.46,14.78,-8.81,1.72,-16.04,7.0,15.97,新聞/題材有催化且風險不高 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | 最新月營收年增 > 0 | MA60 在 MA120 之上 | 20日報酬為正 | 股價站上 MA20,,核心 4/4，加分 3/5；型態 早期起漲；結構 整理待確認；題材 AI；資金 未明確；訊號 待確認
