rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
1,A,Y,92.92,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,11,9,3,81.36,87.89,6223,旺矽,TPEX,櫃半導體,7175.0,AI,5-10日波段,波段布局,平台突破,業績成長,57.81,49.68,3,1.2,18.22,12.28,95.77,0.88,-0.35,12.0,16.59,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 5-10日波段
2,A,Y,91.21,early,早期起漲,Y,Y,early,早期起漲,N,N,,,11,9,3,71.23,92.0,5274,信驊,TPEX,櫃半導體,18325.0,AI,5-10日波段,波段布局,回踩承接,業績成長,68.74,71.32,3,15.55,-19.32,0.52,58.59,0.84,-7.82,11.0,17.12,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 早期起漲；結構 回踩承接；題材 AI；訊號 5-10日波段
3,A,Y,90.58,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,11,9,3,72.54,87.22,3265,台星科,TPEX,櫃半導體,193.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,22.06,28.41,3,15.27,6.21,1.85,33.56,1.13,-5.62,6.0,12.57,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
4,A,Y,88.58,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,11,9,3,72.51,77.25,5347,世界,TPEX,櫃半導體,200.0,AUTO:AI,3-5日延續,催化觀察,平台突破,尚未明確,19.48,12.12,3,8.47,8.92,20.48,65.98,2.02,-0.74,15.0,11.57,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 強勢續攻；結構 平台突破；題材 AUTO:AI；訊號 3-5日延續
5,B,Y,90.25,early,早期起漲,Y,Y,early,早期起漲,N,N,,,10,9,3,84.16,89.87,8299,群聯,TPEX,櫃半導體,2500.0,存儲記憶體,5-10日波段,波段布局,整理待確認,業績成長,301.23,253.11,3,0.12,4.5,0.81,59.74,1.03,-13.19,14.0,16.46,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,距 60 日高點回檔介於 -12% 到 +1%,核心 10/11，加分 3/3；型態 早期起漲；結構 整理待確認；題材 存儲記憶體；訊號 5-10日波段
6,A,N,88.01,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,11,9,3,73.68,72.94,3374,精材,TPEX,櫃半導體,312.0,一般,3-5日延續,催化觀察,平台突破,業績成長,43.32,27.74,3,27.22,-0.03,24.55,92.0,2.25,-0.95,13.0,13.09,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 早期起漲；結構 平台突破；題材 一般；訊號 3-5日延續
7,A,N,83.74,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,11,9,3,60.92,67.56,3675,德微,TPEX,櫃半導體,413.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,24.42,18.68,3,1.63,-6.82,13.15,105.99,2.86,-7.3,6.0,12.03,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,,核心 11/11，加分 3/3；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
8,A,N,83.26,continuation,強勢續攻,Y,N,continuation,強勢續攻,Y,N,early,早期起漲,11,9,2,64.06,73.77,3546,宇峻,TPEX,櫃文化創意,84.3,AI,待確認,暫不出手,平台突破,業績成長,61.34,47.14,3,15.11,6.45,3.69,16.92,0.71,-2.99,0.0,17.35,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 20日報酬為正 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上,,核心 11/11，加分 2/3；型態 強勢續攻；結構 平台突破；題材 AI；訊號 待確認
9,B,N,80.52,early,早期起漲,N,N,,,Y,N,early,早期起漲,10,9,3,62.26,69.85,3088,艾訊,TPEX,櫃電腦週邊,141.5,機器人,待確認,暫不出手,回踩承接,業績成長,49.04,48.48,3,22.32,-8.29,-2.08,68.45,0.61,-6.91,4.0,16.06,EPS/獲利有支撐 | 新聞/題材有催化且風險不高 | 60日報酬為正 | 股價站上 MA20 | 法人/主力籌碼未明顯轉弱 | 量比介於 0.5 到 3.2 | MA20 在 MA60 之上 | 最新月營收年增 > 0 | 距 60 日高點回檔介於 -12% 到 +1% | 近3月營收維持年增，且正成長月數 >= 2 | 估值不極端 | MA60 在 MA120 之上 | 流動性/財報品質達基本門檻,20日報酬為正,核心 10/11，加分 3/3；型態 早期起漲；結構 回踩承接；題材 機器人；訊號 待確認
