rank,screen_grade,focus_candidate,screen_score,screen_style,screen_style_label,in_screen_2060,focus_candidate_2060,screen_style_2060,screen_style_2060_label,in_screen_1854,focus_candidate_1854,screen_style_1854,screen_style_1854_label,core_match_count,required_core_count,support_match_count,selection_score,buy_point_score,code,name,market,industry,current_price,primary_theme,signal_type,post_close_category,structure_label,turnaround_label,latest_revenue_yoy_pct,avg_3m_revenue_yoy_pct,positive_revenue_months,five_day_institutional_net_ratio_pct,broker_net_ratio_pct,return_20d_pct,return_60d_pct,volume_ratio,drawdown_from_high60_pct,liquidity_score,financial_quality_score,matched_conditions,missing_core_conditions,screen_reason
11,A,Y,89.39,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,77.39,75.2,6016,康和證,TPEX,櫃金融,22.1,一般,3-5日延續,催化觀察,追高風險,業績成長,151.85,95.28,3,0.56,4.3,28.49,40.32,0.81,-14.01,6.0,14.88,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 追高風險；題材 一般；訊號 3-5日延續
12,A,Y,89.26,continuation,強勢續攻,Y,Y,continuation,強勢續攻,Y,Y,continuation,強勢續攻,7,6,2,67.58,86.82,3265,台星科,TPEX,櫃半導體,183.5,一般,3-5日延續,催化觀察,回踩承接,業績成長,37.89,27.11,3,-4.86,4.82,9.88,38.49,1.09,-4.92,6.0,13.2,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 一般；訊號 3-5日延續
13,A,Y,88.77,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,73.06,77.54,2368,金像電,TWSE,電子零組件,1290.0,一般,待確認,一般觀察,結構未完成,業績成長,58.41,58.49,3,4.05,23.32,9.79,73.15,1.26,-15.13,14.0,16.64,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 結構未完成；題材 一般；訊號 待確認
14,A,Y,88.36,continuation,強勢續攻,Y,Y,continuation,強勢續攻,N,N,,,7,6,2,64.75,85.88,6613,朋億*,TPEX,櫃其他電子,252.5,AI,待確認,暫不出手,回踩承接,業績成長,30.82,34.26,3,13.91,5.79,6.32,31.85,1.62,-4.54,3.0,16.1,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 強勢續攻；結構 回踩承接；題材 AI；訊號 待確認
15,A,Y,88.02,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,65.24,83.56,6913,鴻呈,TPEX,櫃電子零組件,138.0,一般,待確認,暫不出手,回踩承接,業績成長,25.45,17.4,3,-3.44,12.42,9.96,17.45,1.75,-6.44,0.0,16.39,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
16,A,Y,87.53,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,69.35,75.97,1590,亞德客-KY,TWSE,電機機械,1465.0,一般,待確認,暫不出手,回踩承接,業績成長,25.23,11.63,2,10.13,3.73,16.73,22.59,0.71,-8.44,12.0,17.72,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
17,A,Y,86.77,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,61.76,81.67,5443,均豪,TPEX,櫃半導體,131.0,CoPoS,3-5日延續,催化觀察,回踩承接,業績成長,24.44,35.47,3,-1.12,1.88,14.91,52.68,1.45,-7.75,10.0,10.02,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 CoPoS；訊號 3-5日延續
18,A,Y,86.45,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,2,60.19,81.99,2363,矽統,TWSE,半導體,60.5,CoWoS,3-5日延續,催化觀察,回踩承接,業績成長,87.15,109.66,3,11.31,17.89,11.21,23.09,1.33,-9.02,12.0,9.09,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 CoWoS；訊號 3-5日延續
19,A,Y,84.11,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,7,6,1,66.34,84.13,2383,台光電,TWSE,電子零組件,4615.0,AI,待確認,一般觀察,整理待確認,業績成長,93.62,65.09,3,13.11,0.14,21.45,139.74,0.87,-11.51,12.0,16.57,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正,,核心 7/7，加分 1/2；型態 早期起漲；結構 整理待確認；題材 AI；訊號 待確認
20,B,Y,84.66,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,6,2,75.14,88.73,2374,佳能,TWSE,光電,82.2,AI,待確認,一般觀察,回踩承接,業績成長,62.53,62.32,3,5.08,8.64,13.69,5.12,2.67,-3.86,8.0,14.09,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,MA60 在 MA120 之上,核心 6/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 AI；訊號 待確認
21,B,Y,80.26,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,6,2,63.65,81.12,1533,車王電,TWSE,汽車,34.4,一般,待確認,暫不出手,回踩承接,業績成長,72.77,71.97,3,12.95,9.25,10.08,14.67,1.78,-4.31,0.0,13.48,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,MA60 在 MA120 之上,核心 6/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 待確認
22,B,Y,80.03,early,早期起漲,Y,Y,early,早期起漲,Y,Y,early,早期起漲,6,6,2,62.79,81.06,2428,興勤,TWSE,電子零組件,206.0,一般,3-5日延續,催化觀察,回踩承接,業績成長,19.35,5.74,2,17.43,8.23,12.88,23.35,1.88,-6.58,4.0,12.43,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,MA60 在 MA120 之上,核心 6/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
23,B,Y,77.85,early,早期起漲,Y,Y,early,早期起漲,N,N,,,6,6,1,64.1,90.0,2365,昆盈,TWSE,電腦週邊,36.65,一般,3-5日延續,催化觀察,回踩承接,業績成長,19.57,6.97,3,-0.22,6.38,5.01,1.52,1.19,-7.22,7.0,13.94,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正,MA60 在 MA120 之上,核心 6/7，加分 1/2；型態 早期起漲；結構 回踩承接；題材 一般；訊號 3-5日延續
24,A,N,85.92,early,早期起漲,N,N,,,Y,N,early,早期起漲,7,6,2,68.63,68.83,3088,艾訊,TPEX,櫃電腦週邊,131.0,機器人,5-10日波段,波段布局,回踩承接,業績成長,65.88,37.0,3,19.33,14.3,33.95,62.13,1.0,-3.68,4.0,18.01,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | MA60 在 MA120 之上 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,,核心 7/7，加分 2/2；型態 早期起漲；結構 回踩承接；題材 機器人；訊號 5-10日波段
25,B,N,77.93,continuation,強勢續攻,Y,N,continuation,強勢續攻,N,N,,,6,6,2,63.42,69.77,8043,蜜望實,TPEX,櫃電子零組件,113.0,一般,3-5日延續,催化觀察,平台突破,業績成長,26.8,74.49,3,3.08,51.97,16.98,62.36,1.19,0.0,7.0,8.61,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,MA60 在 MA120 之上,核心 6/7，加分 2/2；型態 強勢續攻；結構 平台突破；題材 一般；訊號 3-5日延續
26,B,N,77.57,early,早期起漲,Y,N,early,早期起漲,Y,N,early,早期起漲,6,6,2,63.41,67.97,2881,富邦金,TWSE,金融業,96.1,一般,待確認,暫不出手,平台突破,業績成長,69.03,29.1,3,9.27,14.75,9.2,4.0,3.19,-2.54,15.0,11.56,法人/主力籌碼未明顯轉弱 | EPS/獲利有支撐 | 60日報酬為正 | 最新月營收年增 > 0 | 近3月營收維持年增，且正成長月數 >= 2 | MA20 在 MA60 之上 | 20日報酬為正 | 估值不極端,MA60 在 MA120 之上,核心 6/7，加分 2/2；型態 早期起漲；結構 平台突破；題材 一般；訊號 待確認
