# auto-generated by MarketThemeRadar; manual themes remain in config/theme_baskets.csv
# theme|keywords(comma-separated)|codes(comma-separated)
AUTO:聯發科|聯發科,台股神山不只一座,台達電攜手破2000元撐出台股,新視野,Yahoo財經掃描,CPO供應鏈深度分析,典範轉移,1檔隱形冠軍上看750-850,專家提醒,1類台廠要避開,台股盤後,上漲646點續新高,台達站上2千,台達站上2|2308,2454,1459,1806,3372
AUTO:AI|AI,亮點不只黃仁勳,台北國際電腦展6月登場新增信義,展區,聚焦機器人,AI體驗,力積電記憶體漲價效應6月顯現,砸160億元資本支出攻AI市場,伊朗喊濃縮鈾是國土般的存在,美伊和談能獲共識,Google,AI盛會登場,最新TPU要來了,今周重磅,OpenAI推出Codex新功,能Chronicle,讓AI直接,讀取螢幕,打造超長記憶工作流|9940,6770
AUTO:上漲646點續新高|上漲646點續新高,台股盤後,聯發科,台達站上2千,台達站上2|2454,1459
AUTO:台股盤後|台股盤後,上漲646點續新高,聯發科,台達站上2千,台達站上2|2454,1459
AUTO:矽光子|矽光子,CPO供應鏈深度分析,聯發科,典範轉移,1檔隱形冠軍上看750-850,專家提醒,1類台廠要避開,卡位AI與矽光子商機,耀穎競拍底價50元,8掛牌上櫃|2454,1459,1806,3372
